ФИО;Пол;Дата рождения;СНИЛС
Каутов;Игорь;Вадимович;878-297-742 82;02.06.2004
Татохин;Павел;Михаилович;645-506-241 64;21.06.1974
Тихонин;Василий;Антонович;957-111-540 42;01.04.2002
Бартев;Денис;Олегович;022-476-580 37;24.12.2001
Митиулин;Михаил;Евгеньевич;707-132-816 11;13.05.1987
Кабердин;Борис;Валериевич;469-874-424 51;13.02.1947
Адашев;Георгий;Сергеевич;088-214-203 34;25.07.1985
Гайдунов;Яков;Михаилович;314-107-632 76;28.11.1997
Цапов;Александр;Кириллович;402-286-370 05;03.10.1974
Щемельков;Николай;Леонидович;340-042-475 08;16.10.1974
Авсатов;Игорь;Виталиевич;668-856-563 90;12.12.1966
Скулов;Евгений;Павлович;251-359-226 25;05.11.1966
Бакулов;Юрий;Тимофеевич;087-484-550 26;11.01.1969
Морящев;Тарас;Антонович;405-849-689 76;05.07.1968
Ящин;Анатолий;Тимофеевич;820-090-477 47;18.12.2003
Петрущев;Эдуард;Кириллович;582-327-739 93;10.03.2000
Синьков;Евгений;Алексеевич;105-053-288 51;15.07.1999
Золкин;Аркадий;Вадимович;520-999-479 73;08.01.1999
Мергуланов;Илья;Яковлевич;775-887-732 86;24.08.1962
Мухорлямов;Герасим;Сергеевич;894-821-280 94;21.06.1951
Шафиков;Владислав;Василиевич;501-151-732 64;03.07.1943
Мамзурин;Иван;Романович;707-401-870 96;28.04.1962
Колонский;Роман;Фёдорович;620-085-980 52;13.08.1979
Кочелазов;Павел;Вадимович;342-165-014 46;06.06.2007
Мальянов;Ярослав;Игоревич;041-952-612 85;04.02.1993
Деревин;Михаил;Петрович;970-287-085 63;08.06.1953
Бикмуллин;Антон;Андреевич;630-441-436 94;03.06.1956
Калбазов;Борис;Игоревич;283-890-464 59;21.01.2002
Алфутов;Артём;Юрьевич;850-043-097 28;04.12.1964
Нетемин;Михаил;Данилович;784-400-872 17;21.01.1998
Афендин;Игорь;Василиевич;224-219-433 95;06.01.2004
Ханцев;Семён;Адамович;191-779-575 29;15.08.1986
Снисимов;Артур;Алексеевич;616-722-544 14;09.02.1958
Озорнов;Виктор;Борисович;750-201-097 100;12.03.1982
Куриев;Валерий;Евгеньевич;485-609-828 05;03.11.1946
Арбатов;Семён;Павлович;754-339-790 76;05.05.1943
Этчин;Артур;Викторович;988-574-074 56;28.02.1995
Варинский;Константин;Данилович;508-554-314 92;17.02.1970
Суханкин;Владислав;Василиевич;491-057-944 67;26.12.1988
Тертицкий;Георгий;Аркадиевич;773-305-408 02;22.04.1993
Сухаручкин;Иван;Павлович;489-324-980 61;13.07.1958
Савогин;Алексей;Леонидович;100-878-063 30;27.08.1979
Торовцев;Юрий;Василиевич;225-027-127 87;17.02.1965
Куцыгин;Олег;Леонидович;763-995-368 34;04.01.2002
Миловский;Станислав;Евгеньевич;198-292-853 74;15.05.1994
Хантемиров;Аркадий;Игоревич;871-561-566 62;02.09.1990
Зимовнов;Евгений;Адамович;921-530-329 03;12.07.1976
Нежинов;Денис;Павлович;839-209-349 78;23.07.1946
Путин;Александр;Виталиевич;377-067-762 66;14.11.1977
Ученов;Владислав;Романович;652-560-203 33;28.08.1963
Тылин;Альберт;Михаилович;767-270-465 41;07.03.1994
Драсков;Иван;Игоревич;326-039-167 50;19.09.1956
Хотюшин;Денис;Виталиевич;466-777-475 18;28.02.1995
Епихин;Кирилл;Данилович;574-894-543 69;04.10.2007
Деменин;Эдуард;Василиевич;750-879-569 63;19.10.1978
Кабеев;Илья;Борисович;409-888-252 63;04.07.1983
Малеханов;Валерий;Денисович;117-189-283 69;07.01.1967
Симаченков;Тарас;Аркадиевич;260-437-950 30;24.05.1994
Дебольский;Валерий;Сергеевич;366-319-539 89;01.08.1997
Аметов;Борис;Андреевич;056-279-359 16;07.08.1976
Пушечников;Григорий;Евгеньевич;930-644-705 13;10.09.1944
Лепешонков;Тарас;Олегович;914-229-779 37;11.04.1975
Прошляков;Яков;Фёдорович;549-525-969 49;25.02.1945
Пельмегов;Степан;Василиевич;531-407-468 65;12.07.1959
Казиметов;Владислав;Алексеевич;489-019-292 44;03.02.1956
Кищинский;Вячеслав;Тимофеевич;251-028-732 97;24.09.2008
Воложанин;Никита;Тимофеевич;490-153-843 21;19.07.1992
Чувинов;Кирилл;Яковлевич;353-785-273 59;18.05.1944
Простецков;Эдуард;Андреевич;450-128-194 28;17.11.1982
Лебедчиков;Станислав;Данилович;941-562-118 00;28.12.1996
Лощаков;Антон;Георгиевич;379-570-102 41;03.02.2006
Шумелкин;Руслан;Виталиевич;640-804-954 55;19.06.1966
Рубиков;Руслан;Николаевич;450-017-048 96;21.11.1976
Секридов;Игорь;Яковлевич;152-669-987 81;21.01.1943
Горкушов;Виктор;Борисович;403-756-696 27;02.11.1956
Шулыгин;Антон;Леонидович;601-403-646 08;15.07.1990
Винокурцев;Яков;Георгиевич;602-941-607 17;16.06.1968
Красихин;Аркадий;Денисович;091-871-832 32;05.02.1960
Аленичкин;Максим;Вадимович;225-811-913 97;04.06.2001
Финский;Евгений;Юриевич;871-029-967 15;03.09.1991
Шубелев;Семён;Андреевич;153-619-384 68;01.01.1985
Подогов;Виталий;Антонович;819-743-377 89;05.01.1984
Кочевцев;Артём;Аркадиевич;242-826-168 65;30.05.1970
Закин;Алексей;Алексиевич;411-142-577 42;28.01.1971
Зятьков;Геннадий;Яковлевич;563-185-029 31;23.01.2008
Артизанов;Виталий;Данилович;257-977-772 21;03.06.1968
Окунев;Валентин;Петрович;975-676-980 10;24.02.1980
Видомский;Евгений;Юриевич;535-768-681 96;29.09.1963
Дуплевский;Илья;Викторович;248-566-402 94;27.08.2003
Люньков;Максим;Игоревич;226-087-789 60;17.05.1958
Косятов;Яков;Романович;300-455-484 46;08.03.1943
Салапин;Яков;Викторович;363-311-213 12;04.09.1983
Ярмеев;Алексей;Яковлевич;801-353-402 34;12.09.2005
Перехватов;Степан;Кириллович;411-770-345 06;09.01.2005
Муцынов;Евгений;Аркадиевич;497-599-695 81;20.06.1980
Гордиков;Степан;Тимофеевич;252-563-734 35;06.09.2008
Аладжалов;Степан;Романович;016-942-502 69;15.05.1980
Евстиферов;Николай;Валериевич;418-215-209 97;24.12.1990
Авакимов;Альберт;Сергеевич;950-347-441 93;18.04.1949
Тяпушкин;Борис;Юрьевич;656-038-120 36;21.04.1955
Ненашев;Владимир;Павлович;308-952-872 78;17.05.1961
Чирский;Борис;Сергеевич;060-841-427 14;17.03.1957
Лоханов;Михаил;Иванович;105-408-380 98;21.08.1991
Колобов;Денис;Юриевич;486-358-489 51;14.01.1991
Жавинский;Альберт;Антонович;572-607-565 62;30.10.1998
Лазутиков;Герасим;Георгиевич;028-052-581 06;21.03.1983
Бухов;Семён;Евгеньевич;531-919-600 81;29.12.1977
Тамазаев;Леонид;Кириллович;395-301-750 70;05.03.1993
Язынин;Геннадий;Алексеевич;220-224-814 81;23.06.1990
Утриев;Руслан;Андреевич;010-863-431 75;07.11.1991
Гетманцев;Артём;Игоревич;181-930-896 08;08.04.1977
Конофьев;Тарас;Василиевич;920-922-715 10;03.11.1967
Хураськин;Альберт;Юрьевич;487-474-545 69;22.09.1993
Воюшин;Евгений;Николаевич;918-216-768 01;01.09.1970
Логашин;Владимир;Адамович;943-294-532 13;29.04.1950
Найметулин;Вадим;Валериевич;597-433-588 13;31.07.1996
Бятчиков;Андрей;Яковлевич;092-517-235 05;03.02.1977
Мокроусов;Кирилл;Василиевич;872-981-483 75;22.12.1972
Хапугина;Виолетта;Михайловна;055-875-268 05;13.06.1976
Хасина;Кира;Егоровна;868-103-844 24;19.07.1948
Голдакова;Марина;Михайловна;275-364-512 86;18.08.1948
Оканова;Оксана;Евгеньевна;939-668-508 95;19.09.1971
Синягова;Ирина;Романовна;701-983-636 72;21.02.1991
Лескакова;Клара;Богдановна;474-408-729 86;25.04.1985
Баксова;Юлия;Валерьевна;720-178-941 44;14.12.1991
Иовчева;Софья;Яковлевна;949-743-346 55;07.07.1997
Паршинова;Клавдия;Петровна;950-905-278 73;23.10.2000
Горская;Карина;Викторовна;129-851-568 100;06.01.1993
Рыцева;Яна;Вадимовна;111-995-185 82;07.06.1961
Гафина;Дарья;Николаевна;413-150-373 79;14.04.1966
Шипякова;Карина;Максимовна;611-618-020 22;15.08.1984
Болашева;Софья;Петровна;012-686-948 34;11.02.2004
Кунгавина;Наталия;Егоровна;890-439-985 40;30.12.1959
Илизарова;Валерия;Романовна;851-537-514 10;17.02.2008
Чернобаева;Ольга;Валерьевна;130-790-415 96;05.01.2008
Барношова;Алина;Михайловна;669-961-465 82;19.08.1998
Матыщина;Юлия;Евгеньевна;604-274-058 34;06.07.2008
Плясникова;Любовь;Егоровна;612-949-140 94;28.11.1976
Чистогова;Светлана;Кирилловна;574-877-347 03;29.04.1990
Латкасова;Ксения;Михайловна;334-468-284 73;22.11.1958
