Поваренина;Лиза;Богдановна;Ж;26.10.1971;665-135-183 11
Шитилов;Василий;Петрович;М;06.05.1987;142-697-724 73
Фурашова;Анна;Петровна;Ж;11.07.1990;756-136-004 43
Бисярин;Артур;Викторович;М;28.03.1988;877-951-564 72
Патышнев;Степан;Аркадиевич;М;27.12.1986;658-549-800 22
Шатверкина;Алиса;Максимовна;Ж;28.08.1996;179-437-368 01
Гушева;Ирина;Евгеньевна;Ж;24.08.1967;858-664-227 49
Бабулина;Ксения;Николаевна;Ж;24.06.1986;692-661-842 35
Бацилин;Василий;Вадимович;М;27.08.1991;278-813-120 35
Жеменев;Никита;Денисович;М;12.11.1984;229-239-950 53
Дворников;Анатолий;Леонидович;М;22.03.1997;915-470-988 34
Лорисов;Антон;Яковлевич;М;11.11.1948;324-653-509 42
Шинявский;Никита;Фёдорович;М;14.07.1954;481-349-596 23
Хомятов;Денис;Фёдорович;М;09.07.1988;722-983-134 12
Тапонова;Екатерина;Романовна;Ж;03.07.1958;146-835-353 28
Багларова;Мария;Дмитриевна;Ж;04.11.1969;710-720-977 82
Сухлина;Александра;Аркадьевна;Ж;02.10.1964;888-605-270 100
Куннов;Станислав;Фёдорович;М;02.09.2004;422-769-544 75
Ходанов;Павел;Данилович;М;20.08.1949;374-244-254 01
Акинкин;Вячеслав;Вадимович;М;08.04.1976;050-650-332 48
Чибискин;Тарас;Иванович;М;10.12.1981;257-080-148 16
Похитонов;Ярослав;Олегович;М;26.09.1990;223-069-891 85
Клищин;Эдуард;Максимович;М;04.04.1997;231-401-395 08
Палилов;Виктор;Николаевич;М;01.11.2000;924-763-006 82
Разведкина;Клара;Егоровна;Ж;27.03.1948;816-629-581 67
Костенков;Вячеслав;Павлович;М;30.05.1972;086-502-537 23
Рецкова;Софья;Сергеевна;Ж;25.03.1982;953-326-708 46
Гарлицкий;Тарас;Алексеевич;М;16.07.1988;599-218-955 05
Албаев;Кирилл;Борисович;М;30.07.1950;868-833-474 71
Фейдкулин;Валерий;Алексеевич;М;03.01.1943;209-388-770 79
Шалабаев;Алексей;Андреевич;М;29.12.1975;641-418-264 19
Чудных;Вадим;Иванович;М;22.01.1952;548-203-036 63
Гужевников;Юрий;Алексиевич;М;03.02.1990;740-967-688 64
Храбскова;Яна;Кирилловна;Ж;24.01.1962;113-202-824 71
Албаев;Кирилл;Борисович;М;30.07.1950;868-833-474 71
Жабский;Кирилл;Юриевич;М;11.03.1970;882-666-693 12
Байкова;Зинаида;Федоровна;Ж;22.02.1956;476-271-458 67
Рженицына;Виолетта;Вадимовна;Ж;03.10.1992;900-759-348 90
Алоев;Анатолий;Аркадиевич;М;06.12.1997;313-778-483 94
Батасова;Оксана;Евгеньевна;Ж;26.07.1991;743-215-593 41
Дужников;Эдуард;Вадимович;М;13.04.1963;582-019-399 09
Билалов;Никита;Тимофеевич;М;06.07.1968;332-208-618 31
Разоренков;Вячеслав;Данилович;М;01.07.1970;441-838-566 98
Бринчалина;Анастасия;Романовна;Ж;30.04.2006;550-186-552 25
Пидлусская;Маргарита;Романовна;Ж;07.04.1975;822-971-370 07
Толпыкина;Алиса;Никитична;Ж;27.07.1990;246-548-757 20
Ушибашев;Артур;Фёдорович;М;25.06.1956;337-368-255 58
Шинявский;Никита;Фёдорович;М;14.07.1954;481-349-596 23
Киндралова;София;Андреевна;Ж;30.03.1946;500-261-713 63
Танкушин;Максим;Сергеевич;М;20.04.1948;114-069-843 57
Кинеева;Яна;Олеговна;Ж;12.07.1950;772-598-642 76
Цейтлин;Валентин;Михаилович;М;10.07.1969;614-718-372 34
Ктитаров;Юрий;Романович;М;16.08.1956;039-178-900 15
Шабанкин;Кирилл;Петрович;М;14.12.1956;382-635-453 25
Веретакова;Алена;Романовна;Ж;23.05.1946;144-064-466 45
Пирусская;Ольга;Федоровна;Ж;09.08.1980;295-301-729 37
Селищев;Дмитрий;Валериевич;М;29.09.2002;870-699-422 45
Турнин;Павел;Георгиевич;М;27.04.1971;476-161-818 52
Кулемекова;Евгения;Евгеньевна;Ж;17.01.1986;065-950-788 30
Могиаров;Алексей;Валериевич;М;11.06.1966;551-374-603 89
Колюмбов;Альберт;Леонидович;М;26.05.2002;718-019-496 92
Турмасов;Герасим;Петрович;М;03.05.2003;465-398-774 30
Неговелов;Василий;Викторович;М;10.05.1989;567-779-226 80
Тюрясова;Екатерина;Николаевна;Ж;14.02.1975;482-479-688 70
Щепинский;Василий;Данилович;М;27.02.2002;501-091-801 51
Гарин;Владислав;Максимович;М;11.02.1954;074-357-897 56
Какурина;Кира;Ивановна;Ж;14.04.1994;252-298-425 47
Чужова;Вера;Богдановна;Ж;13.07.1954;615-558-963 05
Мятова;Кира;Леонидовна;Ж;30.03.1962;174-944-408 46
Котеликов;Дмитрий;Сергеевич;М;12.06.1966;099-079-418 82
Бероникова;Алла;Сергеевна;Ж;07.07.1960;076-277-737 00
Симутов;Георгий;Тимофеевич;М;29.04.2006;214-956-471 48
Снятелев;Никита;Сергеевич;М;07.05.1995;899-123-730 83
Кудеров;Вячеслав;Денисович;М;20.01.1943;700-205-171 41
Ишакина;Наталья;Никитична;Ж;09.06.1983;925-444-911 00
Шаплова;Анна;Никитична;Ж;02.03.1981;939-902-366 52
Лисенкина;Клара;Игоревна;Ж;10.09.1985;134-393-009 06
Кашаганов;Кирилл;Антонович;М;10.10.1985;559-383-027 21
Сбродов;Аркадий;Тимофеевич;М;27.05.1976;347-703-229 23
Стальцев;Валентин;Георгиевич;М;07.03.2002;616-955-536 75
Назыров;Иван;Данилович;М;23.09.2008;971-630-500 18
Седыгина;Алиса;Викторовна;Ж;10.12.1990;376-354-112 48
Осечкин;Руслан;Евгеньевич;М;25.12.1988;533-745-215 96
Кимов;Никита;Денисович;М;29.08.1965;225-992-045 27
Поленин;Николай;Георгиевич;М;12.01.2005;026-819-905 65
Матузина;Елизавета;Алексеевна;Ж;12.07.1995;210-481-497 80
Сухлина;Александра;Аркадьевна;Ж;02.10.1964;888-605-270 100
Безумнов;Пётр;Фёдорович;М;20.04.1977;833-505-279 68
Выдуйкин;Иван;Борисович;М;09.02.1985;012-950-368 56
Гневанова;Зинаида;Алексеевна;Ж;21.02.1971;563-752-025 79
Селищев;Дмитрий;Валериевич;М;29.09.2002;870-699-422 45
Рженицына;Виолетта;Вадимовна;Ж;03.10.1992;900-759-348 90
